 
Mass percent  	      Group : Nico          	  Sample : JEN1203         	 Page 	  1 	 
 
   No. 	   Na2O  	   MgO   	   FeO   	   CaO   	   SiO2  	   Al2O3 	  Total  	Comment  
   51  	   6.510 	   7.154 	  17.665 	   0.471 	  55.985 	   9.082 	  96.867 	Line 1 JEN1203_new2 
   52  	   6.589 	   7.328 	  17.434 	   0.529 	  55.746 	   9.088 	  96.714 	Line 2 JEN1203_new2 
   53  	   6.382 	   7.511 	  17.445 	   0.798 	  56.014 	   9.178 	  97.328 	Line 3 JEN1203_new2 
   54  	   6.206 	   7.916 	  16.989 	   1.163 	  55.686 	   8.948 	  96.908 	Line 4 JEN1203_new2 
   55  	   6.588 	   7.880 	  16.993 	   0.767 	  56.253 	   8.840 	  97.321 	Line 5 JEN1203_new2 
   56  	   6.500 	   7.728 	  16.746 	   0.603 	  56.442 	   9.230 	  97.249 	Line 6 JEN1203_new2 
   57  	   6.483 	   7.825 	  16.491 	   0.464 	  56.451 	   9.546 	  97.260 	Line 7 JEN1203_new2 
   58  	   6.478 	   7.807 	  17.204 	   0.908 	  55.763 	   9.117 	  97.277 	Line 8 JEN1203_new2 
   59  	   6.443 	   7.735 	  17.278 	   0.852 	  55.460 	   9.133 	  96.901 	Line 9 JEN1203_new2 
   60  	   6.476 	   7.772 	  17.023 	   0.613 	  56.063 	   9.077 	  97.024 	Line 10 JEN1203_new2 
   61  	   6.395 	   7.627 	  16.990 	   0.517 	  56.220 	   8.979 	  96.728 	Line 11 JEN1203_new2 
   62  	   6.638 	   7.712 	  17.339 	   0.585 	  56.367 	   8.852 	  97.493 	Line 12 JEN1203_new2 
   63  	   6.699 	   7.746 	  17.784 	   0.643 	  56.206 	   8.780 	  97.858 	Line 13 JEN1203_new2 
   64  	   6.505 	   7.855 	  17.492 	   0.996 	  55.708 	   9.028 	  97.584 	Line 14 JEN1203_new2 
   65  	   6.571 	   7.714 	  17.317 	   0.548 	  56.263 	   8.949 	  97.362 	Line 15 JEN1203_new2 
   66  	   6.508 	   7.630 	  17.278 	   0.571 	  56.399 	   9.027 	  97.413 	Line 16 JEN1203_new2 
   67  	   6.273 	   7.685 	  17.314 	   0.667 	  56.240 	   9.031 	  97.210 	Line 17 JEN1203_new2 
   68  	   6.536 	   7.747 	  17.441 	   0.994 	  55.787 	   8.966 	  97.471 	Line 18 JEN1203_new2 
   69  	   6.447 	   7.764 	  17.158 	   0.723 	  56.267 	   9.010 	  97.369 	Line 19 JEN1203_new2 
   70  	   6.664 	   7.664 	  16.941 	   0.503 	  56.427 	   9.377 	  97.576 	Line 20 JEN1203_new2 
   71  	   6.622 	   7.670 	  16.836 	   0.589 	  56.541 	   9.377 	  97.635 	Line 21 JEN1203_new2 
   72  	   6.723 	   7.691 	  16.715 	   0.479 	  56.313 	   9.188 	  97.109 	Line 22 JEN1203_new2 
   73  	   6.712 	   7.718 	  16.275 	   0.477 	  56.510 	   9.570 	  97.262 	Line 23 JEN1203_new2 
   74  	   6.582 	   7.939 	  15.930 	   0.517 	  56.946 	   9.791 	  97.705 	Line 24 JEN1203_new2 
   75  	   6.619 	   8.006 	  16.099 	   0.584 	  56.930 	   9.592 	  97.830 	Line 25 JEN1203_new2 
   76  	   6.614 	   7.873 	  15.976 	   0.605 	  56.845 	   9.653 	  97.566 	Line 26 JEN1203_new2 
   77  	   6.710 	   7.990 	  15.810 	   0.569 	  56.671 	   9.707 	  97.457 	Line 27 JEN1203_new2 
   78  	   6.570 	   8.031 	  15.532 	   0.547 	  56.893 	   9.733 	  97.306 	Line 28 JEN1203_new2 
   79  	   6.703 	   7.757 	  16.016 	   0.372 	  56.727 	   9.837 	  97.412 	Line 29 JEN1203_new2 
   80  	   6.520 	   7.666 	  16.263 	   0.405 	  56.952 	   9.573 	  97.379 	Line 30 JEN1203_new2 
   81  	   6.794 	   7.753 	  16.417 	   0.352 	  57.092 	   9.511 	  97.919 	Line 31 JEN1203_new2 
   82  	   6.798 	   7.831 	  16.509 	   0.385 	  56.908 	   9.420 	  97.851 	Line 32 JEN1203_new2 
