 
Mass percent  	      Group : Nico          	  Sample : JEN1209         	 Page 	  1 	 
 
   No. 	   Na2O  	   Al2O3 	   FeO   	   CaO   	   SiO2  	   MgO   	   K2O   	  Total  	Comment  
  353  	   6.158 	   8.902 	   7.618 	  13.100 	  54.811 	   8.171 	   0.003 	  98.763 	Line 1 JEN1203_Line2_neu2 
  354  	   6.104 	   8.881 	   7.727 	  12.932 	  54.928 	   8.275 	   0.000 	  98.847 	Line 2 JEN1203_Line2_neu2 
  355  	   6.234 	   9.139 	   7.628 	  12.825 	  54.987 	   8.151 	   0.010 	  98.974 	Line 3 JEN1203_Line2_neu2 
  356  	   6.101 	   9.039 	   7.778 	  12.910 	  54.989 	   8.180 	   0.000 	  98.997 	Line 4 JEN1203_Line2_neu2 
  357  	   6.187 	   8.901 	   7.722 	  12.959 	  54.769 	   8.220 	   0.000 	  98.758 	Line 5 JEN1203_Line2_neu2 
  358  	   6.353 	   9.045 	   7.529 	  12.825 	  55.042 	   8.252 	   0.004 	  99.050 	Line 6 JEN1203_Line2_neu2 
  359  	   6.300 	   9.108 	   7.754 	  12.917 	  55.064 	   8.323 	   0.000 	  99.466 	Line 7 JEN1203_Line2_neu2 
  360  	   6.144 	   9.176 	   7.771 	  12.920 	  54.594 	   8.319 	   0.004 	  98.928 	Line 8 JEN1203_Line2_neu2 
  361  	   5.919 	   8.913 	   9.928 	  11.623 	  50.609 	   6.858 	   0.009 	  93.859 	Line 9 JEN1203_Line2_neu2 
  362  	   6.052 	   8.656 	   7.650 	  13.221 	  55.015 	   8.261 	   0.000 	  98.855 	Line 10 JEN1203_Line2_neu2 
  363  	   6.337 	   9.007 	   7.728 	  12.988 	  54.982 	   8.216 	   0.009 	  99.267 	Line 11 JEN1203_Line2_neu2 
  364  	   6.160 	   9.038 	   7.440 	  12.949 	  54.681 	   8.139 	   0.001 	  98.408 	Line 12 JEN1203_Line2_neu2 
  365  	   6.022 	   8.802 	   7.381 	  13.258 	  54.880 	   8.457 	   0.000 	  98.800 	Line 13 JEN1203_Line2_neu2 
  366  	   6.009 	   9.173 	   6.810 	  13.291 	  55.292 	   8.593 	   0.011 	  99.179 	Line 14 JEN1203_Line2_neu2 
  367  	   6.204 	   9.718 	   6.197 	  12.993 	  55.655 	   8.450 	   0.002 	  99.219 	Line 15 JEN1203_Line2_neu2 
  368  	   6.134 	   9.600 	   6.345 	  13.112 	  55.261 	   8.536 	   0.001 	  98.989 	Line 16 JEN1203_Line2_neu2 
  369  	   6.065 	   9.423 	   6.271 	  13.432 	  55.184 	   8.847 	   0.011 	  99.233 	Line 17 JEN1203_Line2_neu2 
  370  	   5.629 	   8.742 	   6.289 	  13.989 	  54.728 	   9.205 	   0.000 	  98.582 	Line 18 JEN1203_Line2_neu2 
  371  	   5.526 	   8.622 	   6.404 	  14.122 	  54.741 	   9.164 	   0.000 	  98.579 	Line 19 JEN1203_Line2_neu2 
  372  	   5.606 	   8.581 	   6.825 	  13.968 	  54.989 	   8.903 	   0.006 	  98.878 	Line 20 JEN1203_Line2_neu2 
  373  	   5.562 	   8.494 	   7.399 	  13.764 	  54.994 	   8.671 	   0.008 	  98.892 	Line 21 JEN1203_Line2_neu2 
  374  	   5.772 	   8.330 	   7.618 	  13.747 	  54.790 	   8.605 	   0.001 	  98.863 	Line 22 JEN1203_Line2_neu2 
  375  	   5.947 	   8.616 	   7.693 	  13.400 	  54.974 	   8.355 	   0.010 	  98.995 	Line 23 JEN1203_Line2_neu2 
  376  	   5.946 	   8.733 	   7.628 	  13.236 	  54.937 	   8.340 	   0.006 	  98.826 	Line 24 JEN1203_Line2_neu2 
  377  	   6.250 	   9.043 	   7.480 	  12.932 	  55.106 	   8.038 	   0.002 	  98.851 	Line 25 JEN1203_Line2_neu2 
  378  	   6.227 	   8.978 	   7.556 	  12.865 	  54.981 	   8.134 	   0.009 	  98.750 	Line 26 JEN1203_Line2_neu2 
  379  	   6.037 	   8.804 	   7.537 	  13.007 	  54.360 	   8.131 	   0.003 	  97.879 	Line 27 JEN1203_Line2_neu2 
  380  	   6.115 	   8.684 	   7.608 	  13.128 	  54.737 	   8.260 	   0.013 	  98.545 	Line 28 JEN1203_Line2_neu2 
  381  	   6.409 	   9.331 	   7.444 	  12.708 	  55.044 	   7.962 	   0.007 	  98.905 	Line 29 JEN1203_Line2_neu2 
  382  	   6.235 	   9.385 	   7.381 	  12.773 	  55.218 	   8.003 	   0.010 	  99.005 	Line 30 JEN1203_Line2_neu2 
  383  	   6.002 	   8.721 	   7.664 	  13.138 	  54.801 	   8.259 	   0.002 	  98.587 	Line 31 JEN1203_Line2_neu2 
  384  	   6.123 	   8.778 	   7.545 	  13.122 	  55.045 	   8.296 	   0.005 	  98.914 	Line 32 JEN1203_Line2_neu2 
  385  	   5.998 	   8.466 	   7.829 	  13.356 	  55.038 	   8.396 	   0.007 	  99.090 	Line 33 JEN1203_Line2_neu2 
  386  	   6.221 	   9.255 	   7.326 	  12.749 	  55.344 	   8.109 	   0.002 	  99.006 	Line 34 JEN1203_Line2_neu2 
  387  	   6.146 	   9.130 	   7.305 	  12.850 	  55.118 	   8.185 	   0.000 	  98.734 	Line 35 JEN1203_Line2_neu2 
  388  	   6.007 	   8.508 	   7.802 	  13.244 	  54.710 	   8.411 	   0.000 	  98.682 	Line 36 JEN1203_Line2_neu2 
  389  	   6.063 	   8.491 	   7.835 	  13.189 	  54.577 	   8.352 	   0.006 	  98.513 	Line 37 JEN1203_Line2_neu2 
